museum_name,country,city,visitors,population,log_visitors,log_population,visitors_per_1000
Shanghai Museum East (opened 2024),China,Shanghai,4234046,23019196,15.258669,16.951839,183.9354
Wawel Castle,Poland,Kraków,3100000,790279,14.946913,13.580143,3922.6653
Art Gallery of New South Wales,Australia,Sydney,2369339,218096,14.678122,12.292695,10863.7435
NGV International (National Gallery of Victoria),Australia,Melbourne,2287575,159993,14.643003,11.982892,14297.9693
National Museum in Kraków,Poland,Kraków,1859484,790279,14.435810,13.580143,2352.9462
Guggenheim Museum Bilbao,Spain,Bilbao,1301343,345749,14.078908,12.753471,3763.8374
Museum of European and Mediterranean Civilisations (MUCEM),France,Marseille,1300000,861635,14.077876,13.666588,1508.7595
Museu Picasso,Spain,Barcelona,1128140,1627559,13.936082,14.302593,693.1485
Royal Ontario Museum,Canada,Toronto,1114325,3025647,13.923760,14.922636,368.2931
Museu Nacional d'Art de Catalunya (MNAC),Spain,Barcelona,854496,1627559,13.658268,14.302593,525.0169
Museum of Contemporary Art Australia,Australia,Sydney,833699,218096,13.633629,12.292695,3822.6240
